# field rbandarea 4bandarea 9bandarea NIRonly AWonly uonly gonly ronly ionly 9noAWr
KIDS_157p0_0p5 3039.46851713 2806.64765412 858.446579441 1116.75291682 2982.61619156 3503.04918141 3304.33967304 3006.84793681 3230.15948926 897.943899942
KIDS_157p0_1p5 3029.47558808 2800.66688725 633.874148603 851.978123327 2969.20493454 3452.98902608 3260.62745401 2996.82255621 3160.52775154 680.487111755
KIDS_157p0_m0p5 3049.26243711 2735.03722387 707.258003536 934.224102281 2920.37478346 3537.68749536 3308.59629681 2961.76775308 3149.46674527 757.978549919
KIDS_157p0_m1p5 3109.48252424 2852.73327633 628.822684355 768.145834516 3020.99900278 3474.83906126 3312.0207182 3044.45372983 3216.97934938 653.661328378
KIDS_157p4_2p5 2883.03692248 2708.40486499 2403.33797413 3235.18687244 2916.22086994 3407.1872882 3169.31905714 2960.86017811 3058.92550774 2469.03933369
KIDS_157p4_m2p5 2778.96707567 2480.31346946 1670.84408443 2558.44517388 2712.32937871 3420.53551212 3096.38985472 2766.21425065 2976.70506006 1782.67693852
KIDS_158p0_0p5 3127.79722266 2899.41897879 2899.12849222 3579.96773705 3081.28132159 3569.26558061 3397.29070885 3105.60263618 3235.34619164 3022.20920026
KIDS_158p0_1p5 3122.9512298 2925.97155086 2925.87157565 3559.134742 3071.0179926 3539.35808258 3366.91942454 3097.98066785 3240.6150724 3047.33380215
KIDS_158p0_m0p5 3191.12921164 2875.32637706 2875.03382967 3580.01061992 3011.07971625 3454.31410792 3376.55985159 3088.67430991 3308.69907067 3072.69262513
KIDS_158p0_m1p5 3045.29259807 2871.60751283 2871.34564875 3559.0788836 3079.35533262 3498.63949723 3334.40019332 3097.51842083 3224.74640198 2975.86380025
KIDS_158p4_2p5 2936.79192459 2681.56203533 2681.34874045 3566.9044533 2895.91933747 3508.28438939 3189.00516769 2992.30054461 3161.92676848 2788.08619158
KIDS_158p4_m2p5 2985.00915981 2662.43611164 2662.21749934 3566.93707023 2839.99698874 3480.60461237 3280.74282574 2869.63029594 3117.37110161 2865.09595759
KIDS_159p0_0p5 3182.90465699 2910.61463803 2910.3155647 3579.96773705 3092.2819153 3532.97648621 3379.63001548 3115.46386356 3319.91303558 3101.54808726
KIDS_159p0_1p5 2968.20790472 2774.73240854 2774.54121024 3559.134742 2962.97409606 3473.2563006 3220.88847056 3000.0892867 3073.19463835 2845.69878164
KIDS_159p0_m0p5 2975.85951323 2658.87034598 2658.60766775 3580.01061992 2866.68518058 3469.2083921 3345.7827384 2887.24417562 3203.9136359 2916.69716107
KIDS_159p0_m1p5 3205.3735488 2925.06992938 2924.77879402 3559.0788836 3086.95683267 3498.00299643 3438.76159528 3102.72272923 3328.34100079 3124.43210709
KIDS_159p4_2p5 3060.62233861 2874.50669226 2874.28706227 3566.90632331 3071.16286061 3486.81737415 3357.85948724 3095.83338243 3206.57117782 2981.57568099
KIDS_159p4_m2p5 3078.33391643 2883.66961967 2883.43834987 3566.91889177 3094.9758396 3506.02864377 3301.01943755 3126.50548286 3246.16075182 2997.14810217
KIDS_160p0_0p5 3057.80051626 2822.84571228 2822.52767177 3579.96773705 3032.73285407 3538.95381838 3371.23583754 3066.70146511 3228.63665775 2946.11816564
KIDS_160p0_1p5 3146.56335516 2899.52542905 2898.40028492 3557.84947724 3082.73997509 3504.40880107 3325.30038805 3106.76160574 3246.31900245 3004.57962273
KIDS_160p0_m0p5 3021.5303 2787.50355196 2787.22793637 3580.01061992 2985.78980353 3370.60632062 3288.68513708 3016.01656329 3171.60002872 2928.81258209
KIDS_160p0_m1p5 3158.67395488 2786.89989707 2786.74934272 3559.0788836 2932.32731065 3500.57470901 3384.37688544 2960.12315509 3253.82833805 3052.56252236
KIDS_160p4_2p5 3152.62056319 2941.60554222 2941.31575531 3566.85145716 3096.24262058 3519.28019997 3364.32809601 3117.04935926 3315.38454894 3076.37616284
KIDS_161p0_0p5 2903.31105368 2657.33808812 2657.22690561 3579.96773705 2896.22965626 3524.45308722 3325.50725876 2926.59839634 3150.12536809 2801.54746802
KIDS_161p0_1p5 3207.17913245 2966.83086986 2966.1257005 3558.55813218 3096.64244511 3473.0555233 3364.33410037 3118.69522936 3317.50426772 3109.59429192
KIDS_161p0_m0p5 3176.87369262 2974.87110833 2974.57686902 3580.01061992 3144.7398729 3559.97741385 3345.0721244 3161.16658031 3308.75678635 3089.027537
KIDS_161p0_m1p5 3037.91378107 2728.55549964 2728.33242223 3559.0788836 2941.46147564 3511.57992048 3265.15338371 2961.02013337 3205.64412684 2928.50942529
KIDS_161p4_2p5 3017.23796807 2868.4402487 2868.21219734 3566.86527228 3065.59602599 3493.80145507 3303.55221081 3093.86036351 3213.45046223 2956.19511762
KIDS_161p4_m2p5 3026.23825608 2715.22437289 2714.97954239 3566.86483976 2894.68144613 3488.27592589 3231.93094217 2910.6530049 3209.79895628 2956.63825753
KIDS_162p0_0p5 3067.68029102 2782.19687678 2781.90010598 3579.96773705 2952.88843012 3548.4608137 3345.84067034 2998.5280756 3188.68506636 2964.40899925
KIDS_162p0_1p5 3192.04483907 2934.61020312 2934.39835845 3559.134742 3080.5740278 3485.01128165 3415.6853849 3096.70785706 3276.57184049 3094.69465215
KIDS_162p0_m0p5 3166.37532838 3007.75178449 1012.08162859 1254.70348451 3150.53816815 3525.94115194 3363.63025401 3172.90167827 3269.7016644 1029.38952738
KIDS_163p0_0p5 2911.70833557 2711.10399222 2710.75311853 3579.96773705 2939.72963626 3486.72470085 3279.35275174 2965.53096311 3089.20985597 2820.24912992
KIDS_163p0_1p5 2976.24512828 2834.43500086 2834.23694588 3559.134742 3039.01998347 3428.96149283 3233.62312984 3071.09856812 3108.69652493 2871.44446634
KIDS_163p0_m0p5 3085.25552397 2908.00183626 1688.76731609 2023.24194341 3108.39105289 3502.1339865 3309.54900628 3161.22757804 3230.14419848 1753.4215501
KIDS_163p0_m1p5 3142.80528446 2917.5945337 2917.33643507 3559.0788836 3082.7645014 3514.38058763 3379.33893101 3102.25361281 3293.61896921 3082.17805816
KIDS_164p0_0p5 3067.74446903 2814.15612469 2813.78887893 3579.96773705 3029.54990482 3468.80377171 3277.44417797 3071.48302554 3199.39526255 2929.46831721
KIDS_164p0_1p5 3297.11467971 3038.70290977 3038.53574164 3559.134742 3178.69445256 3542.69603858 3404.9947665 3193.75792752 3329.16353513 3158.51337629
KIDS_164p0_m0p5 2862.89989943 2580.06404103 2579.82699584 3580.01061992 2772.01341093 3458.87250189 3124.85298506 2801.14185538 3033.92493669 2770.63030811
KIDS_164p0_m1p5 3117.7937987 2783.24370975 2782.95958373 3559.0788836 2914.67991084 3415.14244787 3312.36847522 2945.00467404 3200.68887235 2991.01811666
KIDS_165p0_0p5 3217.60857371 2964.01605685 2963.72808905 3579.96773705 3110.58763262 3513.53197501 3447.73443113 3140.490462 3328.83778563 3137.64939261
KIDS_165p0_1p5 3204.41695939 3016.99400259 3016.81086947 3559.134742 3197.94934287 3516.42642219 3391.38946164 3216.2084882 3357.88664681 3145.99094331
KIDS_165p0_m0p5 3322.90491375 3034.51090924 3034.21060197 3580.01061992 3127.48082318 3563.89818756 3462.59081912 3149.67492626 3344.83257315 3222.51422858
KIDS_165p0_m1p5 3355.43956296 3138.43018898 3138.16948252 3559.0788836 3260.54196814 3544.95800482 3460.51412314 3281.71413347 3420.12216505 3269.19676349
KIDS_166p0_0p5 3217.52990636 2933.34076342 2933.10753457 3579.96773705 3069.95182354 3542.04675306 3360.24155349 3094.05921992 3327.76718963 3124.12621525
KIDS_166p0_1p5 3156.3803894 2895.80305379 2895.62227408 3559.134742 3075.07236342 3485.51371466 3361.0350837 3106.18217184 3292.30500563 3060.98669668
KIDS_166p0_m0p5 2896.38700368 2701.75267787 1618.07588437 2242.02924535 2940.36740918 3448.36632689 3258.50727728 2980.76105918 3164.33241967 1712.66380917
KIDS_166p5_2p5 2878.43490782 2618.81059971 2618.636753 3566.8975203 2927.97249262 3454.10239046 3255.60028709 2954.59444563 3130.32578523 2753.38709617
KIDS_167p0_0p5 3080.9620853 2841.95994527 2171.98767159 2827.69368963 3024.38570608 3564.7969468 3414.26910541 3052.62877391 3197.26745314 2283.09208941
KIDS_167p0_1p5 3049.1510129 2857.46552973 2857.28066654 3559.134742 3070.25588354 3488.32548734 3315.02092869 3107.44914364 3253.37714568 2976.92411759
KIDS_167p0_m0p5 2935.82682476 2660.39316477 879.608198965 1211.26180536 2878.02451205 3469.31507134 3216.9827332 2918.42080804 3176.77923837 937.238267833
KIDS_167p0_m1p5 3076.58324981 2858.29293625 2858.05313058 3559.0788836 2994.23277965 3444.66356758 3299.79875787 3047.71963345 3271.63662175 2988.40464067
KIDS_167p5_2p5 2950.41044668 2746.02977784 2745.80031444 3566.83053093 2972.99637271 3457.59228741 3325.25199694 2993.42913616 3159.29604266 2877.8279836
KIDS_167p5_m2p5 3179.00366461 2964.91052907 2964.71207973 3566.86029833 3107.43147402 3519.47373896 3393.27760531 3141.45085502 3265.68396854 3079.81284738
KIDS_168p0_0p5 2857.93668153 2667.05568144 610.476094107 879.693150546 2875.62935577 3429.60934087 3149.49563492 2915.56275597 3031.83392946 627.567835774
KIDS_168p0_1p5 3204.04919207 2978.02724148 2977.84283625 3559.134742 3152.21885593 3544.93931751 3426.59391593 3176.42063024 3381.82065445 3138.03583453
KIDS_168p0_m0p5 3090.09509266 2854.36757022 2854.12349025 3580.01061992 2995.12656493 3392.76382507 3274.13105358 3071.07536481 3231.19704854 2989.35729926
KIDS_168p0_m1p5 3054.18988324 2792.85785499 2792.60757984 3559.0788836 2959.65443302 3416.96670611 3268.86530222 2993.32264774 3162.82339057 2945.02177122
KIDS_168p5_2p5 3067.2269615 2918.79622076 2918.52945905 3566.81769533 3114.30596257 3485.51332031 3301.35003379 3139.62194085 3245.62699944 3013.82775615
KIDS_168p5_m2p5 3285.16219068 3047.57542694 3047.29789045 3566.84686483 3167.32058328 3517.8909274 3362.99968124 3200.29380552 3334.88535106 3183.3587625
KIDS_169p0_0p5 3141.49918252 2969.30695785 2638.80294556 3214.88990685 3141.6117898 3563.33755547 3304.80886579 3168.232776 3274.39758631 2739.08392387
KIDS_169p0_1p5 3228.5438954 2959.32856904 2959.19723628 3559.134742 3107.6335616 3513.76938911 3389.37152448 3138.94791277 3317.41071666 3128.77352979
KIDS_169p0_m0p5 3247.02143677 3056.12568019 3055.84386941 3580.01061992 3195.57396792 3572.45352926 3464.24923223 3214.5508638 3354.95444338 3179.88976634
KIDS_169p0_m1p5 3058.97355538 2827.30539043 2827.05034487 3559.0788836 3003.57741542 3481.44360783 3295.60589231 3024.80961167 3234.02071545 2987.45509876
KIDS_169p5_2p5 3020.39689986 2729.28992756 2729.12936169 3566.95552857 2930.65659622 3531.5492793 3418.86782531 2974.1054628 3185.79100082 2935.37913069
KIDS_169p5_m2p5 3104.77603109 2945.04253207 2944.8901586 3566.98407474 3133.57208562 3509.28500656 3342.25956302 3163.89986373 3256.92475831 3013.02875588
KIDS_170p0_0p5 3014.26232204 2700.69903911 2700.36942239 3579.96773705 2884.12835567 3450.79979915 3293.81603195 2907.78195185 3108.98147783 2852.38492141
KIDS_170p0_1p5 3118.1163552 2881.27728748 2881.06372547 3559.134742 3061.51803206 3480.27926995 3355.15519524 3100.18779339 3252.94932198 3002.11068401
KIDS_170p0_m0p5 3108.92929583 2912.24816865 2911.97488101 3580.01061992 3100.70558078 3467.78659165 3343.53266639 3119.55591431 3284.33291416 3042.48265724
KIDS_170p5_2p5 3089.94572137 2872.93069922 2872.69431553 3566.94677644 3114.20376116 3476.52645307 3356.52955866 3137.83596043 3290.33923774 3007.49292259
KIDS_170p5_m2p5 3076.14434603 2851.58944488 2851.40834714 3566.97472472 2992.98188733 3487.3015142 3305.38379641 3024.83637689 3154.63801695 2953.49894169
KIDS_171p0_0p5 2991.38515889 2678.55192781 2678.25299442 3579.96773705 2867.27573273 3500.84373507 3224.17518592 2939.52655644 3146.6693729 2870.50329493
KIDS_171p0_1p5 3093.83869946 2888.84305394 2888.69958524 3559.134742 3064.3033321 3465.27614394 3259.27654832 3133.58838137 3257.95100852 3005.1774768
KIDS_171p0_m0p5 3152.10015524 2952.25400285 2952.08678384 3580.01061992 3120.82877599 3558.55884457 3345.19909381 3139.9725474 3285.556825 3080.30028221
KIDS_171p5_m2p5 3133.34571345 2966.05396615 2965.81014061 3566.90791345 3145.51326558 3524.26127831 3348.76370185 3171.00134778 3257.15232627 3045.56030114
KIDS_172p0_0p5 3157.61714856 2737.87184366 2737.56983176 3579.96773705 2897.49529234 3317.4889515 3394.95563438 3126.55458635 3365.33569707 2922.04016774
KIDS_172p0_1p5 2886.07982503 2677.45474468 2677.23826953 3559.1817465 2915.41399529 3378.98753575 3194.37346393 2948.27406325 3115.27582009 2813.54417563
KIDS_172p0_m0p5 3134.23181518 2746.70456919 2746.43997008 3580.01061992 2882.77549092 3491.00545657 3333.49175332 2928.34542472 3272.30745684 3032.14669071
KIDS_172p0_m1p5 3032.27556829 2766.96756941 2766.6659137 3559.07884543 2965.83446338 3482.12801633 3290.78116915 2990.1080102 3206.20613281 2941.62660838
KIDS_172p5_2p5 2973.70488773 2719.69290494 2719.45196709 3566.95158502 2897.31980461 3503.62832273 3188.00788344 3035.0450687 3044.20490489 2824.28112431
KIDS_172p5_m2p5 3030.40997915 2787.30778678 2787.23807509 3566.89350043 3032.87517787 3524.77307406 3282.3548704 3068.93274804 3149.64611294 2872.07833388
KIDS_173p0_0p5 3013.85781614 2702.85810428 2489.53871761 3272.78007156 3051.58272965 3569.65155185 3399.17773305 3100.64719088 3285.30460353 2652.67428702
KIDS_173p0_1p5 3034.17173897 2816.94604249 2469.85571101 3071.78293846 3008.63412077 3510.79539683 3335.60890243 3033.04103572 3186.02257593 2589.97201849
KIDS_173p0_m0p5 3015.67969554 2783.74516324 2365.7643528 3040.99232817 2962.38507045 3531.24039799 3394.36214365 2981.87381295 3198.51857444 2506.01048319
KIDS_173p0_m1p5 3211.04163075 2945.52050239 2945.21025992 3559.07884543 3124.22788237 3514.11165061 3390.49051159 3151.50604118 3362.91726116 3135.46754393
KIDS_173p5_2p5 3107.49513046 2801.01729026 2800.81821759 3566.95182672 2960.62189898 3463.47410948 3300.39352071 2983.81753515 3218.67292365 3001.79485698
KIDS_173p5_m2p5 3048.06137339 2824.31038287 2824.10608182 3566.89380573 3020.52622268 3492.09682615 3317.84553697 3045.85142377 3223.18848564 2974.15124608
KIDS_174p0_0p5 3119.60950835 2866.42563175 2866.0619479 3579.96773705 3022.90875962 3565.72703813 3275.59484642 3049.73570061 3192.71346068 3003.66171823
KIDS_174p0_1p5 3176.17127102 2943.70736239 2943.48071035 3559.1817465 3085.93255423 3515.60270479 3399.64302042 3108.17326746 3247.98377612 3073.10737152
KIDS_174p0_m0p5 2918.09619072 2612.66611213 2612.45679897 3580.01061992 2836.38895083 3435.59246115 3156.34185715 2972.49753977 3228.28863358 2773.24407668
KIDS_174p0_m1p5 3017.34800568 2771.71512631 2771.60734034 3559.07884543 3048.06742864 3485.89936787 3336.68454871 3083.8781838 3262.51947761 2885.66360299
KIDS_174p5_2p5 3095.79002888 2850.91628184 2850.76049911 3566.95162319 3023.17283717 3514.64514858 3347.35279067 3045.50469716 3260.02554191 3020.72778869
KIDS_174p5_m2p5 2953.34616114 2654.07075974 2653.89901201 3566.8936022 2857.50941756 3518.82454248 3219.39389263 2897.23636684 3120.73017465 2838.6913066
KIDS_175p0_0p5 3211.8221091 3049.84375373 3049.52085376 3579.96773705 3174.77264844 3518.88139313 3388.17076606 3195.88745427 3344.25392796 3153.07534291
KIDS_175p0_1p5 2987.86713556 2795.494 2795.30267448 3559.1817465 2994.26380644 3486.79072342 3222.01458149 3018.63374112 3176.93299844 2912.52863099
KIDS_175p0_m0p5 3162.1967359 2876.5299214 2876.21303852 3580.01061992 3039.62954096 3535.78259799 3358.12292873 3075.12038562 3283.38811722 3063.02711205
KIDS_175p0_m1p5 2956.65277232 2635.63877267 2635.36615925 3559.07884543 2870.51870019 3434.8075813 3253.17878539 2891.01168538 3214.2841657 2874.4620666
