# field rbandarea 4bandarea 9bandarea NIRonly AWonly uonly gonly ronly ionly 9noAWr
KIDS_21p4_m28p2 3046.83005886 2808.14640457 2807.89584956 3541.24375835 3013.86516894 3428.34034641 3289.73059617 3041.03315021 3168.98753226 2932.7195534
KIDS_21p4_m33p1 3095.64448665 2911.45747526 2911.20945175 3542.09114974 3155.71232752 3531.20072085 3398.13491996 3180.95669866 3306.26031914 3013.72443529
KIDS_21p6_m29p2 3029.02485367 2905.16902287 2904.88447705 3541.25392252 3105.97848141 3439.15152278 3350.62366825 3156.09466052 3209.02869299 2973.52722469
KIDS_21p6_m34p1 3001.04648672 2778.11194985 2777.89696307 3536.6639293 2935.03033054 3441.73136415 3186.01055448 2965.73642177 3153.09432281 2933.30608567
KIDS_21p9_m30p2 2995.19882084 2809.03901951 2808.77768972 3540.20130144 2985.92865445 3395.5151343 3256.74092553 3027.31441121 3180.39599024 2918.10452305
KIDS_22p1_m31p2 3203.56830862 2829.46848819 2829.2306543 3549.6769265 2961.91541974 3393.74646731 3387.86297878 3051.06490409 3310.67284013 3034.01579087
KIDS_22p6_m28p2 3131.22135147 2786.44552442 2786.18712048 3541.24274066 2917.21690751 3468.88109063 3252.03482673 2942.72000062 3199.30669817 3012.87205723
KIDS_22p6_m33p1 2984.04557379 2759.10711842 2758.84328257 3542.08765143 3054.48095499 3468.09509132 3333.23782721 3074.49575361 3223.64843014 2894.01639915
KIDS_22p8_m29p2 3088.3258405 2786.90013877 2786.63313537 3541.25212884 2915.28839976 3497.43814092 3153.80578913 3103.76823921 3236.48222504 2907.03157166
KIDS_22p8_m34p1 3099.92913503 2893.66906193 2893.3976443 3536.68794676 3053.40490163 3487.25597262 3370.51846863 3084.75146265 3220.78777024 2999.99199565
KIDS_23p0_m30p2 3029.5112708 2853.1448806 2852.91729992 3540.1982611 3043.26557803 3437.71557646 3191.54824504 3127.22219027 3153.74203092 2889.87654246
KIDS_23p9_m29p2 2985.1979411 2767.73928291 2767.49745458 3541.25261224 2995.89104011 3399.45173307 3254.93913277 3026.33482203 3193.95806876 2908.25241671
KIDS_24p0_m34p1 3186.92553313 3003.49173874 3003.2617156 3536.68968955 3175.31100587 3523.66109628 3396.94643741 3218.31114797 3279.20675155 3080.56831602
KIDS_24p2_m30p2 2966.1482932 2717.75621751 2717.48178498 3540.20132688 2908.73424152 3432.32620133 3221.55648155 2937.82658346 3155.88978702 2902.39400149
KIDS_24p5_m31p2 3252.49790063 2947.95490329 2947.74087059 3549.68102269 3079.3833445 3538.24083826 3431.74675471 3093.89151751 3351.82592776 3158.95192388
KIDS_24p7_m32p1 2904.16757882 2740.91454267 2740.69024403 3546.52738288 2965.6267658 3422.53112373 3198.57117624 2992.22033801 3132.67991592 2827.76036097
KIDS_25p1_m29p2 3161.47431672 2957.6203146 2957.37708696 3541.25370626 3219.07340968 3506.00783204 3430.38619369 3241.65480699 3374.73007239 3073.39060707
KIDS_25p2_m34p1 3116.48890526 2982.03872944 2981.80523344 3536.69281895 3190.57577969 3511.65721396 3406.28527236 3207.54988924 3265.85181088 3034.81400244
KIDS_25p3_m30p2 3296.27343262 3122.57210252 3122.26595626 3540.19817205 3268.36508268 3530.6647041 3447.78079958 3279.88562637 3410.77883955 3237.3855766
KIDS_26p2_m29p2 3017.78004006 2769.66240963 2769.43935767 3541.25162 2970.53151747 3528.62077771 3354.07835317 2995.92229588 3196.36831228 2930.04008028
KIDS_26p5_m30p2 3168.98335973 2943.67249383 2943.43833633 3540.20165763 3081.10509603 3498.83502071 3305.02903006 3101.88924202 3272.04594895 3082.75050817
KIDS_27p3_m29p2 3070.69803121 2888.31479707 2888.03577221 3541.25416422 3030.2853377 3496.51222212 3249.9080223 3086.0413579 3177.28550043 2966.61172328
KIDS_27p6_m30p2 3183.8593764 3041.15888568 3040.93398915 3540.19888443 3183.91900025 3511.85315723 3361.97251511 3190.6532131 3250.66885924 3083.36166852
KIDS_28p8_m30p2 3099.47604721 2928.2960032 2928.05855094 3540.20099613 3082.76999692 3523.20449743 3328.73260748 3101.61120941 3219.02819885 3029.90344994
KIDS_28p8_m34p1 3057.90523645 2748.32012488 2748.10723709 3536.68794676 2903.53834177 3459.906283 3224.14722492 2920.40798556 3144.55854618 2927.57589925
KIDS_29p1_m31p2 3133.66416103 2972.22478643 2971.92907147 3549.69202646 3139.36954128 3430.7907632 3295.83643701 3160.18007085 3275.45585555 3076.45166264
KIDS_29p4_m32p1 2880.21464217 2727.08725442 2705.32720837 3523.40044071 2942.16300676 3411.90665511 3151.13846467 2976.54604617 3102.83964897 2783.25730862
KIDS_29p6_m29p2 3079.85514508 2863.58860767 2863.31635045 3541.25223061 3016.1545619 3409.94526329 3268.32760628 3029.29736531 3210.28997845 3016.76604028
KIDS_29p7_m33p1 2833.13070532 2570.37601158 2570.14536511 3542.09001756 2801.37990554 3365.9869162 3099.03922969 2843.13814915 3018.5050798 2718.44815692
KIDS_29p9_m30p2 2979.94437656 2654.54524447 2654.37115606 3540.19829926 2881.62566784 3390.03124131 3223.34510797 2955.22721915 3208.24778213 2862.79529373
KIDS_2p3_m29p2 3178.85130386 2882.7765595 2882.53913268 3541.25263768 3028.64545924 3527.04525535 3334.70263774 3044.00116357 3296.10538674 3103.28664338
KIDS_2p3_m30p2 3053.38434431 2835.29637275 2835.02805907 3540.19787946 2991.09698755 3469.48965587 3240.87060136 3020.63739247 3190.15707703 2966.74604549
KIDS_2p3_m31p2 3064.93979474 2868.28222706 2867.97824338 3549.69240809 3020.1514333 3470.00376686 3417.38918694 3042.43812063 3210.37981494 3016.54628308
KIDS_2p4_m32p1 2986.66784007 2806.73249121 2806.53513589 3546.5510187 3002.03882245 3500.61048077 3367.92141559 3012.4880196 3174.88033264 2944.79090849
KIDS_2p4_m33p1 2861.7002223 2638.15494488 2637.93899129 3542.09121334 2822.43592712 3416.8440746 3155.28520348 2888.9228153 3080.5618537 2781.26776498
KIDS_2p4_m34p1 3109.62098081 2867.46339456 2867.2227493 3536.6639293 3045.26660884 3426.14899506 3365.26646878 3074.96495908 3293.7952711 3038.88945214
KIDS_2p4_m35p1 2891.96111281 2724.19168778 2723.98158591 3541.99323534 2969.87406499 3320.25396136 3181.58461272 3027.39332026 3069.05911956 2775.16510442
KIDS_30p0_m34p1 3010.52644968 2780.39200551 2780.16544252 3536.6639293 2965.29218785 3491.22413248 3268.8182341 2988.04201267 3144.25318863 2914.73162216
KIDS_30p3_m31p2 3184.82911943 3022.46835474 3022.19272642 3549.69117414 3192.35980106 3540.75128597 3402.26452343 3208.35021252 3304.64950842 3107.97495806
KIDS_30p5_m28p2 3189.76306605 2988.75191429 2988.47846128 3541.23054111 3159.06450572 3472.34094031 3355.77356846 3177.67167521 3296.38546745 3081.82542896
KIDS_30p6_m32p1 2986.01504352 2849.67978982 2849.40165544 3546.54852536 3042.69487082 3390.6094667 3291.00791024 3062.60742987 3190.6967829 2912.80942408
KIDS_30p9_m33p1 3054.80675537 2901.10782081 2900.86011533 3542.09042463 3101.89293114 3521.8898469 3270.4976625 3118.1375104 3207.4500794 2975.93835868
KIDS_31p2_m34p1 3266.90972394 3080.58804646 3080.3480627 3536.6639293 3185.83179742 3497.09225391 3374.00868361 3200.10802641 3325.82071967 3189.49747469
KIDS_31p5_m31p2 3153.97940685 2996.39788735 2996.13139279 3549.69366748 3138.11412025 3510.5098206 3348.03499843 3151.39870045 3248.37806696 3075.39411849
KIDS_31p6_m28p2 2870.73866093 2565.00766445 2564.84213735 3541.33882321 2758.30026921 3381.55722568 3139.01611064 2891.51060737 3030.98730134 2681.59900288
KIDS_31p8_m32p1 2905.91489978 2618.84824147 2618.61562323 3546.54951761 2840.50234761 3428.9000117 3223.81265969 2873.51640463 3081.44588188 2802.74425745
KIDS_31p9_m29p2 2921.62773659 2721.84758133 2721.61807976 3541.25188714 2955.92536646 3430.65864174 3231.46925488 2974.48126987 3139.86268788 2833.08587612
KIDS_329p4_m32p1 2913.65577233 2400.42826162 0.0 0.0 2616.20691897 3187.38218286 3193.28475306 2894.47240011 3124.24069253 0.0
KIDS_329p5_m28p2 3001.20417762 2779.60735465 261.742004231 377.171510843 3032.2779853 3446.80154115 3293.86376156 3057.58475349 3203.88624735 267.366490937
KIDS_329p6_m35p1 2960.60205404 2671.31173276 449.495697205 574.101679218 2857.73755797 3387.16307595 3226.88197126 2881.93155968 3092.33092974 467.729883713
KIDS_329p7_m27p2 3028.71887278 2738.55326271 489.06575702 695.402538422 2960.45897971 3474.03488349 3257.62547528 2989.49565406 3187.4129934 512.024856849
KIDS_329p7_m31p2 3024.58124228 2638.92347809 631.85278946 775.494515205 2819.86278977 3506.68271243 3298.15599172 2876.754678 3176.35511652 652.661118282
KIDS_32p1_m33p1 3211.1014327 3065.05275821 3064.78242187 3542.090043 3216.04760431 3504.75943306 3374.53416727 3244.20650926 3316.52888923 3129.09162118
KIDS_32p2_m30p2 3010.81552421 2785.52105582 2785.31316742 3540.19865545 3015.86907472 3456.56812346 3342.27854291 3032.67048246 3183.95931345 2920.08740083
KIDS_32p4_m34p1 3218.60574346 3057.96969432 3057.71561557 3536.6639293 3190.58641454 3524.89075706 3374.25406112 3210.08440529 3329.06055773 3159.97849212
KIDS_32p6_m31p2 3054.02444519 2778.0015306 2777.77386087 3549.69182292 2941.23558686 3468.921989 3208.59574269 3011.39503444 3147.1135305 2894.41310701
KIDS_32p7_m28p2 3124.72867436 2920.69407063 2920.43003124 3541.22624138 3070.36015849 3429.74323057 3278.87849599 3088.36023839 3217.41672663 3038.69175335
KIDS_32p9_m32p1 3162.7903284 3053.48138095 3053.23877664 3546.55040809 3212.8904153 3423.19059886 3333.851659 3247.75903225 3316.6595096 3119.54624627
KIDS_330p0_m34p1 3163.72295123 2799.37648316 1273.89565975 1752.58993289 2959.55899925 3500.56805587 3315.66104229 2996.3380218 3182.44690053 1341.86813203
KIDS_330p1_m30p2 3210.63971996 2906.72894914 1470.25351805 1759.80488926 3075.36008952 3479.22028832 3340.88120517 3123.57886399 3293.28818216 1586.22921829
KIDS_330p3_m33p1 3097.25317294 2661.11538042 1890.00854188 2639.7047197 2902.34708603 3343.0048166 3371.16230951 3114.69648796 3284.21574 1992.1769133
KIDS_330p4_m29p2 3026.91719451 2709.14553898 2271.49384517 2976.29157306 2872.6408487 3452.96458883 3334.39920107 2911.41230259 3154.68313873 2463.22153698
KIDS_330p6_m32p1 2901.95956281 2456.49220904 2442.77933446 3529.46049826 2730.81999738 3432.04913553 3231.40751932 2761.26533128 3085.61470454 2716.43631317
KIDS_330p8_m27p2 2848.84248627 2574.36007282 2000.56718586 2562.78392515 2805.05236316 3359.08388148 3177.48001895 2886.6671969 3012.82734252 2058.41830948
KIDS_330p8_m35p1 2993.99162554 2689.97715222 2689.79281059 3541.99214133 2842.14956615 3468.33798822 3190.37371756 2879.88706084 3113.59370754 2898.44732759
KIDS_330p9_m31p2 2976.05917107 2592.57161575 2592.34192337 3549.69215367 2753.22684833 3457.17315224 3197.58736365 2781.63129617 3081.26038264 2863.54333323
KIDS_331p2_m30p2 2856.87411254 2588.99393041 2588.80564524 3540.20113607 2776.55645052 3336.81658113 3167.84209795 2846.32893461 2942.66153439 2706.04904239
KIDS_331p2_m34p1 2962.08798161 2711.21415705 2710.95339971 3536.6639293 2947.61808643 3491.42496066 3276.77924548 2972.86795309 3145.19780747 2873.07629234
KIDS_331p5_m29p2 2880.62662808 2535.93790248 2535.74034362 3541.25239598 2721.90814654 3419.86771738 3323.73238387 2775.39851137 2959.35435473 2721.10513911
KIDS_331p5_m33p1 2917.85208532 2297.10550024 2296.99047595 3542.0907045 2463.40023043 3268.78419241 3184.58509035 2714.12967038 3045.02207092 2557.78918434
KIDS_331p8_m28p2 2967.56314791 2650.43289082 2650.2287297 3541.23428112 2846.9783219 3428.64621281 3195.38248976 2875.91147185 3102.68195807 2825.78196102
KIDS_331p8_m32p1 2945.94107505 2491.23634991 2491.06116749 3546.54951761 2685.97631183 3335.70446341 3304.2216084 2861.13003665 3063.01879244 2658.16558369
KIDS_332p0_m27p2 3128.13749967 2829.00407858 2026.06393113 2561.99407135 2978.88175669 3528.6442736 3319.34167959 2996.24543755 3301.62154047 2223.73799193
KIDS_332p0_m31p2 3007.58193221 2627.84188906 2627.63664665 3549.69264979 2824.9650367 3411.56093347 3261.14389297 2921.96062263 3085.81057149 2772.05658638
KIDS_332p0_m35p1 2989.95908415 2234.97882383 2234.8183979 3541.99304453 2418.55244868 3525.87591808 3269.38470519 2961.91211225 2614.47748389 2358.79342551
KIDS_332p4_m30p2 2939.80406749 2624.90641631 2624.65838008 3540.19892259 2802.10338058 3378.90762173 3262.87456199 2820.51393258 3084.77894025 2851.99490486
KIDS_332p4_m34p1 2747.68189401 2305.28731195 2305.13341194 3536.6639293 2562.51366514 3304.85908873 2913.30874042 2743.78583742 2957.94598778 2485.42689824
KIDS_332p7_m29p2 3115.12347206 2753.24316951 2740.88897323 3527.5819972 2898.22327066 3482.74230608 3406.944633 2919.50346366 3155.63539024 2958.35235095
KIDS_332p7_m33p1 3144.49827356 2635.55660701 2635.34389731 3542.09145504 2760.61622385 3213.17357452 3197.78105529 3024.88600194 3224.0293511 2792.03843732
KIDS_332p9_m28p2 3076.61295361 2563.10704137 2222.19852121 3069.2379911 2782.86172022 3295.83400728 3290.81153444 3007.81982971 3201.51618983 2381.82464132
KIDS_332p9_m32p1 2956.31332219 2598.82584835 2598.60556959 3546.55040809 2780.41621379 3360.29204358 3189.77524016 2864.83212174 3094.53309404 2819.82269283
KIDS_333p2_m31p2 3171.58621359 2767.55417802 2767.30952561 3549.69136496 2894.15626777 3490.15389266 3329.78122141 2996.97557846 3142.16425494 2979.90319832
KIDS_333p2_m35p1 3095.44529949 2923.74828224 2923.474931 3541.99396045 3074.21478243 3496.49609175 3269.82912993 3112.48256936 3186.09825382 2995.10715251
KIDS_333p5_m30p2 3105.38911232 2708.94441821 2708.69308721 3540.20173396 2862.04958218 3488.57929895 3255.23017907 2896.47985508 3141.70961514 2894.30472314
